Democrat,population,population_change,age65plus,Black,Hispanic,Edu_bachelors,income,Poverty,Density
0,113523,3.9,11,0.366,0.055,23.1,37365,24.3,220.2
0,24951,-2.5,18.8,0.042,0.018,11.7,31308,26.8,58.8
0,13969,-0.9,19.6,0.007,0.012,10.7,32291,24.6,22.4
0,25957,-0.8,20.4,0.005,0.014,20,44136,12.7,34.4
0,97109,0.8,17,0.051,0.014,25.8,38374,22.2,342.8
0,6411,-4.5,18.4,0.017,0.176,12,36676,17,10.4
1,3263431,5.4,12.7,0.056,0.332,34.6,62962,14.4,735.8
0,5291,-5.3,22.8,0.008,0.019,12,40330,17.2,17.3
0,165128,-0.6,17.4,0.019,0.042,30,62279,8.7,985.9
0,14180,-0.1,17,0.032,0.031,11.1,39753,16.9,54.3
0,120368,1,15.2,0.069,0.034,23,41788,18.9,240.2
0,13970,-1.2,13.5,0.303,0.036,7.9,32697,27,25.2
0,44847,-0.7,14.9,0.024,0.025,27.2,41964,18.1,67.2
0,30372,25.5,12.8,0.017,0.049,24.7,62559,7.6,18.1
0,20969,-2.8,17.3,0.005,0.013,11,43950,14,56
0,12446,-3.2,22.8,0.174,0.072,14.5,31712,16.1,12.4
1,683191,1.3,13.5,0.24,0.088,27.6,47015,17.4,1115.3
0,12739,0.7,14.6,0.052,0.532,15.5,37679,14,14.2
0,5163,3.1,14.7,0.215,0.044,14.2,38425,22.3,30
0,32252,-1.9,19.4,0.008,0.024,17,45286,15.1,79.7
0,14743,-3.7,16.2,0.309,0.019,11.3,34322,22.6,16.1
0,18176,-2.2,21.1,0.025,0.16,16,34914,19,20.1
0,37938,-1.3,16.7,0.031,0.018,14.1,42119,14,74.5
0,629279,-0.2,15.6,0.077,0.105,41.4,84526,7,1344.7
0,1403,-5.8,25.8,0.038,0.156,20.2,42429,16.6,1.6
0,106972,-0.6,23.6,0.004,0.052,16.1,40524,18.7,21.4
0,164072,0.7,16.8,0.094,0.068,17.6,43083,16.3,294.7
0,415123,0.5,14.5,0.353,0.028,20.7,43028,19.8,335.9
1,161875,1.8,17.1,0.025,0.425,21.5,41777,19.1,66.7
0,9990,-3,19.2,0.01,0.104,15.3,48601,12.5,26
0,13675,-3.4,24,0.005,0.016,15.3,42644,15.9,11.3
0,109664,2.9,16.2,0.22,0.071,42.6,79977,7.7,548.3
0,13861,1.4,14.7,0.203,0.222,12.5,41732,25.2,29.3
0,489250,15.8,10.9,0.068,0.239,38,71803,7,378
0,66227,0.5,14,0.019,0.045,26.7,56454,8.4,46.1
0,5588,-2.1,24.4,0.006,0.021,16.4,39761,20.8,5.6
0,13757,-0.6,21.6,0.01,0.017,13.6,36928,16.9,25.8
0,18207,-0.6,16,0.317,0.022,14.2,41016,18.9,99.8
0,38023,-1.6,17.8,0.005,0.071,15.4,39334,18.6,63.2
1,20463,-7.4,23,0.584,0.02,9.4,31433,26.3,41.2
0,198205,11.4,12.3,0.251,0.061,21.3,52427,14.4,161.8
0,5080,2.9,17.8,0.006,0.175,23.4,50605,11.3,6.9
0,11564,1,18.4,0.005,0.025,21,48604,12.1,9.6
0,87809,12.1,11.8,0.061,0.17,36.5,86119,5.9,616.7
0,14866,-2.3,21.6,0.004,0.014,15.4,41392,14.8,29.4
0,46502,-0.7,20.3,0.04,0.13,15.6,39943,17.6,30.5
0,4370,-1.4,19.7,0.002,0.011,9.8,34688,24,14.4
0,24096,-0.9,15,0.043,0.332,16,46078,14.8,24
0,3756,-2.6,24.8,0.003,0.018,18,37925,17.3,4.3
0,14878,-2,19.7,0.419,0.032,16.9,40704,18.2,39.8
0,28163,-3.8,16.3,0.023,0.008,10.6,25906,31.3,62.9
1,5255,-0.8,15.8,0.008,0.916,10.9,36121,14,4.7
0,22897,6,13.2,0.014,0.052,29.3,56854,9,25.7
0,20561,-1.7,27.9,0.01,0.09,17.8,39830,17.2,22.4
0,167830,0.4,15.3,0.036,0.03,32.7,84790,5.6,373.4
0,20026,0.8,18.3,0.262,0.149,12.4,38514,21.5,43.9
1,500292,3.4,16.7,0.019,0.261,32.2,63356,11.9,307.1
0,9623,-0.8,18.2,0.003,0.014,16.2,52233,6.6,19.6
1,685419,1.2,11.2,0.118,0.166,32.3,76147,8,809.6
0,129188,5.3,12.2,0.161,0.087,28.2,78345,7.6,304.9
0,16145,-2.1,22.5,0.025,0.022,10.3,33033,22.1,41.8
0,76557,0.8,14,0.118,0.027,30.8,53931,13.3,193
0,57635,0.6,22.5,0.011,0.031,22.4,48961,11.7,29.1
0,13448,-3.6,21.5,0.005,0.024,19,43481,11.4,24.7
0,156056,7.3,12.3,0.06,0.035,32.2,68297,5,357.4
0,147538,5.5,13.8,0.019,0.034,26.8,61231,10.6,435.8
0,4067,2.2,30.7,0.004,0.034,14.3,41815,22.6,15.1
0,65316,-0.4,18.2,0.109,0.024,22.5,44898,16.2,263.6
0,750,-1.7,18.4,0.001,0.021,19.9,44417,12.1,1.3
0,25292,-2.3,20,0.004,0.037,20.9,48256,9.4,42.4
1,23825,0.6,16.7,0.005,0.018,21.7,55659,9.8,31.1
0,10298,1.9,18.5,0.007,0.037,16.9,41332,10.2,4.5
1,527306,2.3,11.7,0.061,0.313,31.7,69530,11.1,990.8
0,482752,7,14.3,0.185,0.088,31.2,49022,15.8,574.7
0,15797,0.4,19.9,0.006,0.068,23.2,50881,10.5,25.6
0,55423,6.1,10.8,0.14,0.037,16.8,63030,11.2,109.4
0,8445,2.8,25.6,0.007,0.03,27.7,50074,10.3,5.3
0,22327,-1.2,16.3,0.299,0.126,14.1,32056,27.4,31.1
1,11767,-2.6,16.2,0.575,0.028,10.3,39635,15.3,24.7
0,1386,-5.5,24.7,0.003,0.014,16.5,35729,14.2,2
0,2310,2.8,23.5,0.002,0.008,21.8,55521,7.5,2.2
0,1940,-0.1,23.5,0.003,0.055,21.8,44922,13.5,4.4
0,10109,-3.2,20.1,0.004,0.042,17.4,52510,12.2,13.8
0,224241,1.9,17,0.018,0.155,24.4,43752,20.4,134.4
0,18264,-1.2,24.2,0.058,0.028,10.7,34864,17.1,38.3
0,22684,1.1,17.5,0.019,0.033,26.4,52578,13.4,43.1
0,5813,-3,24.4,0.006,0.011,16.7,54203,11.1,20.8
0,149111,6.6,11.7,0.303,0.066,24,54893,15.2,372.5
0,44965,-0.1,18.5,0.041,0.055,13.9,35297,21.9,102.1
0,18592,-1.4,16.5,0.023,0.021,14.2,36048,23.1,61.5
1,9132,-3.9,17.7,0.603,0.026,8.7,32628,31.6,27.8
0,22192,2.2,18,0.01,0.196,17.3,43373,19.8,12.2
0,48224,4.6,12.9,0.011,0.086,31.6,50963,13.6,47.6
0,27876,-3.8,18.5,0.317,0.012,12.9,32556,20.1,56.3
0,19888,-0.8,17.6,0.022,0.013,9.4,38907,19.6,35.4
0,4438,-3.7,26.5,0.005,0.255,17.6,43424,19.5,3.7
1,153905,-1,14,0.538,0.032,22.5,37550,24.9,622.8
0,20444,-0.6,18.9,0.005,0.023,13.5,53588,9.4,60.1
0,31457,0.3,16.5,0.01,0.088,20.4,49440,12.8,55.7
0,37935,-1,16.5,0.146,0.031,18.1,38953,17.8,74.8
0,59730,-0.1,14.4,0.44,0.019,21.4,37868,25.4,118.3
0,40704,1.5,14,0.301,0.113,16,34591,27.9,154.9
0,26562,-1.2,16.6,0.006,0.013,14,46430,15.8,75.2
0,10911,0.3,22.1,0.005,0.014,9.8,27743,27.7,13.8
1,31737,-1.7,16.7,0.534,0.08,17.5,27381,28.4,69.8
0,16989,-4.9,17.3,0.248,0.225,10.7,32908,20.9,23.3
0,7214,-1.9,17.8,0.003,0.007,11.8,22574,40.5,33.1
1,74098,3.6,10.6,0.01,0.14,11.2,30458,35,13.1
0,28096,-0.1,18.2,0.025,0.198,15.1,41670,18.5,29.5
0,36007,2.1,17.3,0.239,0.027,25.5,63942,12,111.8
0,6009,4.1,13.2,0.009,0.239,12,72742,9.3,1.1
0,3454,3.1,13.8,0.027,0.528,11.5,51750,17.1,2.7
0,13500,-2.1,16.9,0.209,0.11,12,35879,23.2,23.4
1,1091742,6,9.6,0.02,0.178,31,60555,12.7,1387.1
0,81624,8.2,12.8,0.017,0.081,22.3,57791,9.9,14.1
1,120365,3,18.7,0.009,0.178,23.6,55925,13.5,67.5
0,34795,2.8,10.4,0.03,0.529,16.7,51178,15.5,30.8
0,101758,2.6,15.6,0.011,0.157,22.5,54535,14.6,138.6
0,149573,1.5,15.8,0.109,0.043,19.5,55609,12.4,322.1
0,359320,-1.6,20.7,0.025,0.011,25.3,50736,10.2,355.4
0,7492,-9.1,18.2,0.366,0.021,8.4,26972,31.6,35
0,19820,-1.9,24.4,0.151,0.043,29.6,56259,13.2,72.9
0,27282,0.2,15.2,0.26,0.112,15.2,31189,26.9,74.8
0,10704,-2.4,18.4,0.023,0.031,12,29808,25.2,33.3
0,183074,6,10.3,0.049,0.08,35.7,44246,21.6,345.7
0,97076,-1,17.1,0.209,0.031,16.3,38989,19.3,211.3
0,22582,0.1,18,0.207,0.04,11.6,36356,16.7,21.6
0,2603,-3.2,11.9,0.005,0.337,12.6,43357,11.2,2.7
0,15740,0.1,17.5,0.004,0.054,10.3,35771,22.6,18.8
1,15182,-5,18.3,0.611,0.019,17.5,31483,27.6,40.6
0,11083,-1.1,19.2,0.017,0.229,15.9,49698,10.8,25.8
0,9200,-1.5,21.4,0.006,0.029,17.4,45865,13,16.4
1,28350,18,10.1,0.241,0.109,35.1,47040,18.6,2326.2
1,45593,5,9.5,0.192,0.049,49.9,44601,27.5,4246.4
0,34438,2.2,19.8,0.18,0.151,23.5,44858,14.9,55.8
0,15029,4.4,15.5,0.011,0.032,32.2,63468,4.4,31.3
0,77159,-1.2,15.2,0.061,0.011,13.7,43264,19.7,113.3
0,2801,-0.3,31.3,0.003,0.021,18.6,36066,13.8,2.9
0,42903,0.4,15,0.022,0.172,16.2,51425,14.4,97.7
0,15945,-3,20.5,0.006,0.021,14.7,53136,10.1,29.3
0,11836,-2,22.4,0.009,0.032,19.6,48977,9.7,20.9
0,48832,-1.4,17.9,0.031,0.016,16.3,40379,19.9,309.9
0,20220,-3,21.7,0.006,0.038,18.5,48530,10.7,29.3
0,25515,1.2,19.9,0.006,0.17,20.1,43765,18.2,10.6
0,9894,-2.3,16.5,0.17,0.029,8.2,39385,20.2,19.1
1,22930,7.7,12.2,0.012,0.152,48.7,68078,8.2,5.3
1,116585,5.2,10.3,0.046,0.058,49.6,49508,19,243.1
0,16766,1.1,18.3,0.01,0.008,11.5,37327,17.6,48.6
0,101539,2.8,14.4,0.252,0.052,26.3,51092,17,263.7
0,28477,2.4,12.8,0.01,0.097,20.8,48369,15.7,17.5
1,35571,0.5,16.3,0.016,0.017,21.3,53016,12.5,41.1
0,19420,-0.9,19.6,0.028,0.026,11.3,32592,17.6,46.2
0,60305,0.4,19.9,0.008,0.016,28,58654,9.9,150.1
1,326328,2.2,10.8,0.376,0.11,22.7,45231,17,489.7
0,40873,-1,21.3,0.007,0.202,24.5,45718,16,18.4
0,7246,-3.6,16.9,0.007,0.014,18.4,44161,12.7,46.6
1,897985,0.4,15.6,0.152,0.17,34.9,64967,11.6,1216.2
1,62122,-1.5,20.9,0.052,0.045,28.2,57336,9.8,99.4
0,12606,0.8,16.1,0.005,0.128,19,49238,13.3,1.9
0,38038,1.3,6,0.007,0.07,33.7,32059,35.8,80
0,61784,-1.3,19.6,0.006,0.015,17.1,46963,13.3,54.6
0,31592,-1.9,18.5,0.012,0.011,13.3,33229,22.9,74.1
0,12624,-1.7,19,0.006,0.013,11.2,40680,12.7,38.4
0,18478,-3.8,17.4,0.463,0.012,15.8,30821,29.8,31.6
0,43103,-1.5,18.9,0.007,0.015,25.6,54463,9.9,81.4
0,17668,3.6,12.4,0.018,0.018,16.6,65209,7.7,91.4
0,56886,-0.9,19.7,0.016,0.017,15.8,31842,22.9,168.3
0,54025,0.3,13.9,0.013,0.019,21,67157,7.5,129.9
0,203361,1.6,26.9,0.013,0.158,11.9,39200,19.4,15
0,2941,-6.4,24.3,0.002,0.012,21.8,33647,15.6,2.6
0,46125,-1.3,16,0.325,0.039,12.6,31252,26.8,58.5
0,44021,0,24.9,0.006,0.025,20.8,43458,16.1,67.1
0,10693,-4.1,19.3,0.012,0.034,13.8,40970,16.8,15.4
0,11341,-1.7,26.2,0.091,0.025,8.4,29379,27.9,20.3
0,45233,1.6,19.6,0.024,0.039,10.5,37595,19.6,70
1,660793,0.4,14.3,0.429,0.038,30,45429,18,592.5
0,69520,-0.2,17.1,0.321,0.058,22.1,36540,23.1,153.2
0,50969,5.4,11.5,0.07,0.397,20.4,39871,18.9,34.4
0,12692,-1.6,15.7,0.116,0.02,9.5,44092,9.9,30.6
1,27349,0.5,14.2,0.014,0.378,10.4,37237,27.6,6
0,7454,-3,22.1,0.004,0.017,16.3,47892,9.5,13.5
0,63034,-3.1,15.9,0.008,0.008,12.5,32961,23.4,82.6
0,19762,-0.3,18.2,0.165,0.148,11.7,44502,15.6,22.6
0,6287,-0.3,18.2,0.028,0.01,12.1,29108,27.5,31
0,64441,-1.2,19.7,0.019,0.041,15.1,48900,11.6,171.1
1,283988,3.1,11.4,0.316,0.061,44.2,46369,23.2,413.1
0,15064,-2.6,16.4,0.005,0.286,12.1,37050,20.8,21.2
0,27937,-1,17.6,0.007,0.073,13.8,49439,13.5,67.8
1,120938,3.6,9.7,0.277,0.108,39.5,33060,36.7,979.1
0,629598,4.3,13,0.108,0.118,29.7,48181,15.9,1058.1
0,53529,-2.6,19.9,0.012,0.011,15.4,41977,16,81.5
0,58485,-1.7,17.9,0.41,0.075,14,35770,23.7,148.5
0,73966,2.5,11.4,0.04,0.272,13.7,44902,21.6,114.2
0,786,-6.8,25.7,0.005,0.037,42.2,56667,5.1,0.8
0,5633,1.5,20.8,0.007,0.013,10.4,33547,22.5,20.3
0,51284,8.7,10.7,0.058,0.042,27.9,61893,12.4,167.4
0,9459,-1.5,23.7,0.069,0.013,17.1,37586,14.8,10.5
0,5769,-2.2,21.7,0.046,0.255,12.2,36857,18.9,6.5
0,123785,-4.8,13.1,0.009,0.195,15.2,48196,22.4,23.6
0,208187,0.2,18.9,0.032,0.015,25.6,53693,10.5,242.5
0,45750,-0.6,18.7,0.056,0.018,13.5,44183,12.7,52.5
0,5127,-2.7,25.7,0.004,0.011,17.6,46313,12.4,10.6
0,98236,-0.6,33.8,0.106,0.184,14.9,35560,20.1,97.2
0,435716,0.7,15.1,0.272,0.138,23.6,48261,16.5,1463.1
0,356221,4.7,13,0.044,0.624,20,47057,18.4,405.8
1,52478,7.3,8.1,0.084,0.186,35.1,38048,33.5,2808.2
0,39411,-1.4,19.5,0.005,0.016,13.1,36273,19.1,96.8
0,243762,3.5,17,0.038,0.034,32.5,60826,8.3,431.6
1,932708,1.7,13.5,0.052,0.141,46.3,78487,6.9,2799.8
1,49414,3.7,10.3,0.372,0.017,42.6,30987,33.7,104
0,43705,3.1,15.3,0.01,0.064,14.5,46501,13,83.2
0,22335,-0.1,31.3,0.004,0.065,20.7,39516,15,13.7
0,426236,8.6,12.6,0.013,0.077,36,55210,13.1,372.8
0,39810,4.6,13.3,0.07,0.498,15.7,44152,18.7,69.8
1,310211,15.5,12.7,0.134,0.497,17.6,43891,17.9,202.4
1,9860,-5.4,16.7,0.542,0.027,7.1,25034,31.5,17.3
0,3147,-6.1,23.6,0.075,0.344,14.1,33006,23.8,3.8
0,38571,-2.2,18.4,0.041,0.018,13.9,41010,18.1,68.9
0,20578,1.6,14.6,0.029,0.248,20,46951,12.8,35.2
0,21398,-0.1,29,0.004,0.019,24.1,40833,13.3,25
0,9042,-1.5,17.6,0.018,0.043,40.6,40359,19.3,6.6
0,114350,22.4,52.9,0.083,0.056,25.2,48493,12,170.8
1,148164,2.8,19.6,0.012,0.513,39.7,52917,17,75.5
1,13711,-0.8,20.4,0.451,0.048,16.7,28116,27.2,1261.5
0,31566,-3.6,18.7,0.015,0.031,19.3,53245,11.5,52.7
1,11098,-4.9,17.7,0.71,0.01,11.1,23642,39.2,13.1
0,21319,-0.1,18.1,0.039,0.025,18.9,45396,16.8,85.7
0,3387,-4.8,25.7,0.005,0.019,15.1,45714,9,6.2
1,972634,2.5,15.6,0.161,0.237,45.4,81946,9.5,2204.7
1,356874,3.4,12,0.128,0.044,51.3,59055,15.4,488.4
1,669115,5.5,10.8,0.151,0.431,36.3,58442,16.8,13731.4
1,161636,2.6,11.2,0.248,0.273,15.5,39402,23.9,1039
0,8786,-0.3,15.6,0.015,0.035,16.1,49718,17.2,58.1
0,30032,3.1,18.3,0.01,0.042,27.4,52008,8.8,11.5
0,9219,-4.2,31.9,0.004,0.014,10.4,29325,21.6,24.1
0,13289,-1.5,15.6,0.003,0.007,8.2,26156,34.2,39.1
0,1291,5.3,14.4,0.017,0.341,18.8,69107,4.2,1.4
0,23989,-3.6,18,0.022,0.133,16.8,49830,15,5
1,24538,3.3,20.6,0.12,0.028,28,38501,18,1188.8
0,47894,4.1,15.5,0.028,0.509,20,55326,17.7,34.7
0,13425,-2.1,20.7,0.006,0.011,10,26814,29.7,38
0,47536,1.1,24.5,0.009,0.122,25.7,60100,10.2,66.2
0,7765,-1.2,23.7,0.016,0.019,12.9,29727,20.6,33.2
0,87615,4.6,14.2,0.17,0.039,18.4,52369,13.8,257.2
0,189961,10.2,8.6,0.197,0.096,23.5,49617,16.4,319.6
0,14097,1.9,14.1,0.01,0.077,18.8,63918,8.6,3.3
0,71811,3.4,15.6,0.032,0.049,17.6,42764,18.6,88.2
0,21959,-2.9,15.9,0.441,0.025,11.2,35231,29.1,41.2
0,3831,-3.6,23.1,0.038,0.279,15.2,42125,17.1,4.4
0,2902,-3.3,24.2,0.007,0.02,21.5,45714,6.7,3.4
0,10728,-2,20.9,0.005,0.026,21,44873,9.6,4.2
0,20021,8.6,15.1,0.137,0.026,23.2,70618,5.9,87.9
0,395118,1.3,16.5,0.014,0.046,40.2,75850,5.4,709.4
0,9125,9.4,15.3,0.432,0.051,13.1,26104,29.4,24
0,111400,-0.5,15.3,0.025,0.022,20.4,43647,19.6,41.8
0,11161,-2,16.6,0.01,0.162,13.5,50583,12.2,28.3
0,5510,0.7,17.4,0.056,0.134,15.6,41910,13.7,2.1
0,36495,-0.4,16.1,0.009,0.014,28.9,35430,23,36.3
0,45949,4.4,17.3,0.084,0.036,22,44522,18.7,92.7
0,15930,-1.9,18.6,0.006,0.017,13.1,47068,13.5,31.1
0,20948,-4.1,18.4,0.256,0.052,12.2,35683,18.9,23.6
0,33892,-2.6,18.6,0.016,0.016,13.5,45145,14.9,49.1
0,15609,-0.4,16.3,0.005,0.015,21.5,57581,8.9,27.9
0,20740,0.1,15.1,0.356,0.021,13.2,36835,21.3,37.1
0,23303,3.2,14.5,0.085,0.022,10.3,43958,18.6,47.2
0,57461,1.9,10.7,0.012,0.281,26.6,57022,11.9,19.1
0,49523,-0.5,18.4,0.135,0.075,16.5,40104,19.1,54.9
0,11603,-2,15.7,0.107,0.025,8.2,39909,24.3,40
0,62475,-0.9,24,0.006,0.06,18,37940,17.8,39.5
1,34170,-0.8,25.3,0.005,0.01,33.1,50181,11.7,75.6
0,63091,4.1,15.2,0.034,0.114,21.7,44530,13.9,57.2
0,25428,0.6,17,0.142,0.013,11.4,32503,24.2,60.9
0,23331,-1.9,18,0.009,0.005,12.2,35469,21.9,55.3
0,8501,-6,23.7,0.018,0.447,13.2,30802,21.4,3.1
0,14363,-1.9,23.8,0.028,0.006,9.7,38290,15.2,36.8
0,24828,-5,18.3,0.403,0.022,15.5,32015,23.1,35.6
0,12225,-2.8,20.2,0.293,0.028,15.6,33015,17.9,26.5
0,75192,1.2,21.6,0.078,0.048,21.7,41394,19.1,118.6
1,996319,8.2,10.4,0.443,0.076,48.2,56857,17.6,1748
0,1687,-3.6,23.5,0.008,0.064,22.7,53021,10.3,2.4
0,5794,-5.3,24.3,0.004,0.011,16.6,48313,9.5,13.8
0,35503,-0.4,15.1,0.008,0.01,13.4,29769,26,81.4
0,20225,-2.1,21.7,0.005,0.064,12.3,32835,23.1,24.1
0,25675,-1.8,24.7,0.006,0.014,16.3,38410,17.8,36.6
0,4297,-3.2,20.5,0.007,0.131,19.1,43292,15.1,5.6
0,11558,1.3,18.7,0.004,0.023,33.5,60863,7.8,6.9
0,29621,-1.4,21.7,0.009,0.031,12.8,32853,18.1,63.3
0,6284,-1.4,22.5,0.003,0.02,23.8,46667,9.7,9.1
0,9217,-0.7,17.6,0.009,0.121,14.3,43216,13.7,21.5
1,1111339,5.9,14.2,0.096,0.252,39,78756,10.5,1465.2
0,105040,-1.2,15.9,0.124,0.028,17.2,42823,18.6,264.2
0,16061,-1.1,20,0.006,0.015,20.4,44070,14.2,45.1
0,65151,1.6,14.1,0.041,0.078,27.7,59915,11.6,129.4
0,54543,0.2,18.5,0.163,0.026,17.7,39077,17.9,91.8
1,65198,2.7,7.5,0.408,0.121,20.2,43832,18.7,129.5
0,22741,-4.2,20.6,0.258,0.109,14.8,33119,19.7,19.3
0,14374,-2,21.8,0.006,0.013,14.3,42914,15.6,29.6
0,101736,1.6,12.8,0.109,0.08,15.9,47197,17.1,217.9
0,65720,-1.2,15.9,0.064,0.024,12.4,42572,18.5,164.7
1,440668,3.9,14,0.024,0.444,31.3,62779,16,155
0,218568,8.6,11.3,0.121,0.11,31.8,65892,9.4,318.7
0,7883,-2.7,20.6,0.006,0.017,19,41713,12.8,14
0,3978,0.3,20.7,0.002,0.126,18.2,45610,12.8,4.4
0,247687,1.8,12.8,0.015,0.477,15.5,43506,22.6,56.6
0,1853,-2,26.2,0.003,0.018,17.4,38182,13.6,0.8
0,17166,-1.9,16.8,0.066,0.015,14.8,41137,19.3,72.8
0,7694,-1.7,22.5,0.023,0.01,11.7,39385,16.5,10.4
0,10524,-0.1,18.9,0.023,0.027,13.8,39430,16.6,18.6
0,108175,0.3,14.5,0.072,0.026,21.2,40692,20,267.4
1,1560297,2.2,12.5,0.441,0.136,23.9,37192,26.5,11379.5
0,23848,-0.9,19.8,0.022,0.019,11.4,42906,15.1,77.3
0,10696,-2.4,29,0.177,0.022,27.4,53309,9.4,84.1
0,126067,-1,15.7,0.027,0.062,47.6,106143,4,300
0,5661,-3.9,22.9,0.007,0.039,18.2,48464,8.8,10.2
1,658893,9.5,11.3,0.49,0.104,52.4,65830,18.6,9856.6
0,22957,2.8,17.9,0.009,0.04,24.4,53525,15.6,105.9
0,119103,2.5,12.2,0.066,0.073,20,46484,15.4,91.6
0,21529,7.2,13.9,0.021,0.121,17.8,51867,15.2,16.2
1,182965,1.1,11.6,0.411,0.085,23.9,51027,15.2,2630
1,5462,-7.8,17.5,0.637,0.055,16,32155,29,859.7
0,102084,0.6,15.6,0.01,0.017,17.9,48857,12.5,110
0,61128,-1.8,18.6,0.022,0.035,26.8,47765,15.5,62.2
0,16389,-2.3,19.6,0.003,0.018,14.1,40120,22.8,31
0,37618,1.3,17.2,0.047,0.06,16.9,38394,18.6,67.3
0,63460,1.5,16.2,0.016,0.016,18.6,50551,11.1,61.9
0,25359,1.4,16,0.291,0.109,11.3,30571,30.1,55
0,9013,-1.8,19.3,0.005,0.011,16.5,42566,16.7,17.4
0,103527,1.3,15.3,0.013,0.111,26.2,54020,13.4,184.2
1,265851,5.4,15.2,0.034,0.084,32.3,62229,11.7,349.4
0,17150,2.4,16.6,0.005,0.023,26.1,59435,8.8,29.3
0,34076,-0.3,18.3,0.395,0.02,11.8,32402,24.1,57.4
0,40831,0,16.8,0.004,0.018,16.2,52535,9.4,88.3
0,11701,-0.4,19.8,0.016,0.017,8.2,35150,20.7,60.2
0,15856,1.6,14.8,0.041,0.046,18.1,47118,11.4,37.6
0,110382,5,12,0.145,0.047,29.5,85672,7.2,294.4
0,20500,-1.6,17.6,0.008,0.051,12.7,40168,15.5,56.6
0,22039,-0.9,15.8,0.167,0.048,10.3,34636,25.5,48.6
0,10693,-4.8,18.7,0.007,0.076,11.6,37448,20,12.6
0,233682,5.3,12.8,0.06,0.066,30.6,60936,9,558.6
0,19410,-2.8,22.2,0.007,0.019,13.2,42389,14.5,22.9
0,16874,-2.1,19.6,0.119,0.014,13.2,33838,19.9,27.5
0,8317,-2.6,21.9,0.007,0.026,20.7,45233,14,13.2
0,6065,-0.4,18,0.009,0.031,21,58396,9.5,8.5
0,11815,2.3,20.1,0.144,0.051,14.4,38328,20.6,21.6
1,14985,-0.2,23.9,0.006,0.015,28.5,44944,13.5,10.2
0,17233,-0.7,17.1,0.026,0.013,13.7,43870,13.3,39
0,2745,1.3,19.7,0.005,0.044,16.7,46667,6.5,3.8
0,11144,0.7,20.2,0.015,0.016,26.2,50274,9.3,7.4
0,125955,-0.9,19.3,0.019,0.012,18.4,42992,14.1,241.7
0,17614,-1.1,23.5,0.012,0.049,17.9,38579,20.1,57
0,10970,-1.3,21,0.004,0.111,18.3,48592,10.6,8.7
0,2432,17.4,23.1,0.007,0.039,21.8,55057,8.4,1.6
0,14050,-4.8,20.1,0.354,0.041,16.9,44170,17.2,24.7
1,28859,-0.3,17.6,0.006,0.013,29.9,52480,13.1,42.1
0,35450,-0.1,21.3,0.029,0.014,17.1,37895,19.7,34.8
0,30941,-2.7,18.9,0.108,0.038,14.2,39467,17.9,58.4
0,103900,1.4,17.3,0.022,0.015,19.7,52040,13,252.1
0,22070,1.7,18.5,0.009,0.056,20.8,54554,9.8,38.2
1,9882,2.8,7.3,0.003,0.037,12.4,31934,44.6,6.9
0,52665,-1.1,18.6,0.036,0.029,13,37634,16,49.4
0,11567,-5.1,17.8,0.332,0.02,11.6,46592,19.6,35.8
0,56358,0.3,20.8,0.084,0.027,19.1,45624,14,81.3
0,21590,1,15.7,0.044,0.263,14.5,48208,16,29.9
0,45276,8.2,15,0.09,0.056,24.5,53591,13.1,56.3
0,35515,-2.2,16.2,0.293,0.037,13.9,34572,24.3,40.7
0,42274,0.7,19.6,0.009,0.013,19.1,44187,15.3,37
0,15893,2.5,12.4,0.044,0.676,12.7,47019,16.7,3.3
1,39105,7.7,9.8,0.007,0.116,48.7,83336,8.5,19.4
1,226189,-1.4,13.3,0.567,0.034,31.5,44790,21.2,292.5
1,24807,-5.1,13.3,0.749,0.015,17.5,26407,38.2,47.3
0,22028,-1.1,20.5,0.014,0.021,14.4,39839,18.1,32
1,67676,0.9,16.6,0.017,0.015,29.1,45622,15.7,37.1
0,2587,4.7,18.9,0.007,0.023,17.2,60847,7,2.8
1,90090,-2.6,17.1,0.622,0.021,18.6,34110,23.7,83.6
0,88153,-0.2,15.9,0.012,0.045,17,52939,11,137.4
0,28204,-2.3,15,0.313,0.025,15.4,41494,18.5,71.4
0,21418,-1.6,20.6,0.115,0.077,11.8,39940,17.4,23.5
0,125376,10,14.5,0.069,0.037,26,60390,10.2,199.7
1,449722,0.2,15.6,0.175,0.075,34.6,78446,5.5,561.9
1,166314,-2.1,15.1,0.151,0.146,23.8,57408,12,279.2
0,23465,2.2,8.8,0.042,0.591,12.6,50185,19.4,35.9
0,42811,1.1,12.3,0.28,0.109,12.9,35693,24.3,73.7
0,2007,-3.1,24.9,0.002,0.049,15.4,46591,12.2,3.9
0,10454,-4.5,34.8,0.003,0.015,13,37189,15.1,16.2
0,6910,-3.6,15,0.017,0.611,11.1,46139,13,8.7
0,2245,14.1,18,0.006,0.021,17.4,53693,12.4,1.8
0,269908,5.5,11.9,0.049,0.079,31.4,54989,12.9,474.7
0,2539,-0.7,22.7,0.002,0.038,22.4,48674,12.9,2.9
0,30359,-3,15.8,0.015,0.331,13.1,35578,27.4,3.2
0,8171,-3.7,24.1,0.003,0.009,12.4,35260,20.7,7.2
0,33100,-0.1,19.9,0.035,0.015,24.9,65935,7.7,61.2
0,14739,4.7,16.7,0.072,0.314,17.9,49528,12.7,17
